
[2016-11-08 14:35:09] Successful get all mws orders
[2016-11-08 14:35:09] launch building pdf and sending email script
[2016-11-08 14:38:54] successful build pdf invoice number : 305-1002638-3710750
[2016-11-08 14:38:54] successful build pdf invoice number : 305-1002638-3710750
[2016-11-08 14:38:56] successful build pdf invoice number : 305-2935870-0987521
[2016-11-08 14:38:56] successful build pdf invoice number : 305-2935870-0987521
[2016-11-08 14:38:57] successful build pdf invoice number : 303-1646208-2269108
[2016-11-08 14:38:58] successful build pdf invoice number : 303-1646208-2269108
[2016-11-08 14:39:10] successful build pdf invoice number : 305-1002638-3710750
[2016-11-08 14:39:11] successful build pdf invoice number : 305-2935870-0987521
[2016-11-08 14:39:12] successful build pdf invoice number : 303-1646208-2269108
[2016-11-08 17:22:28] successful build pdf invoice number : 305-1002638-3710750
[2016-11-08 17:22:30] successful build pdf invoice number : 305-2935870-0987521
[2016-11-08 17:22:31] successful build pdf invoice number : 303-1646208-2269108
[2016-11-08 17:26:34] successful build pdf invoice number : 202-1367292-6720325
[2016-11-08 17:26:36] successful build pdf invoice number : 302-4356618-6616366
[2016-11-08 17:26:37] successful build pdf invoice number : 306-7996150-4897929
[2016-11-08 17:26:38] successful build pdf invoice number : 305-1002638-3710750
[2016-11-08 17:26:39] successful build pdf invoice number : 305-2935870-0987521
[2016-11-08 17:26:40] successful build pdf invoice number : 303-1646208-2269108
